Aldershot	66,499	71,908	72,430	Hampshire	England	South East
Aldridge-Brownhills	58,695	59,506	60,215	West Midlands	England	West Midlands
Altrincham and Sale West	69,605	72,008	71,511	Greater Manchester	England	North West
Amber Valley	66,406	69,538	69,510	Derbyshire	England	East Midlands
Arundel and South Downs	71,203	76,697	77,242	West Sussex	England	South East
Ashfield	74,674	77,049	77,091	Nottinghamshire	England	East Midlands
Ashford	72,501	81,947	85,177	Kent	England	South East
Ashton-under-Lyne	67,334	68,553	68,343	Greater Manchester	England	North West
Aylesbury	72,023	78,750	80,315	Buckinghamshire	England	South East
Banbury	78,817	84,063	86,420	Oxfordshire	England	South East
Barking	72,498	74,027	73,977	London (Barking and Dagenham)	England	London
Barnsley Central	64,117	64,732	64,534	South Yorkshire	England	Yorkshire & the Humber
Barnsley East	65,237	68,243	69,135	South Yorkshire	England	Yorkshire & the Humber
Barrow and Furness	69,142	69,148	68,338	Cumbria	England	North West
Basildon and Billericay	65,475	65,373	66,347	Essex	England	Eastern
Basingstoke	69,987	75,470	79,665	Hampshire	England	South East
Bassetlaw	75,036	78,306	76,796	Nottinghamshire	England	East Midlands
Bath	65,048	66,690	63,084	Bath and North East Somerset	England	South West
Batley and Spen	75,443	77,472	78,373	West Yorkshire (Kirklees)	England	Yorkshire & the Humber
Battersea	67,111	73,028	76,111	London (Wandsworth)	England	London
Beaconsfield	72,604	75,320	74,726	Buckinghamshire	England	South East
Beckenham	63,405	66,470	67,439	London (Bromley)	England	London
Bedford	68,867	69,019	69,311	Bedfordshire	England	Eastern
Bermondsey and Old Southwark	66,206	77,186	83,298	London (Southwark)	England	London
Berwick-upon-Tweed	57,571	55,785	56,969	Northumberland	England	North East
Bethnal Green and Bow	66,423	79,581	82,727	London (Tower Hamlets)	England	London
Beverley and Holderness	74,488	79,775	80,805	East Yorkshire & North Lincolnshire	England	Yorkshire & the Humber
Bexhill and Battle	73,593	78,602	78,796	East Sussex	England	South East
