Short Codes ,Utility,MRP Poll Sheet,Con,Lab,LD,Green,SNP,PC,Reform,Other,Single Top Progressive
UKPARL.2025.AAD,1,YOUGOV MRPs (List),22.95%,46.67%,5.88%,3.42%,0.00%,7.80%,12.45%,0.83%,Lab
UKPARL.2025.AAD,2,Electoral Calculus MRP (List),25.00%,49.00%,3.00%,3.00%,0.00%,7.00%,13.00%,0.00%,Lab
UKPARL.2025.AAD,3,MIC MRP (List),27.42%,48.94%,5.27%,1.78%,0.00%,5.23%,9.01%,2.35%,Lab
UKPARL.2025.AAD,4,Survation MRP (List),21.93%,51.27%,10.38%,0.40%,NI,1.44%,12.43%,2.14%,Lab
UKPARL.2025.AAD,5,AVERAGE,24.32%,48.97%,6.13%,2.15%,0.00%,5.37%,11.72%,1.33%,TRUE
UKPARL.2025.AAG,1,YOUGOV MRPs (List),7.18%,37.40%,2.57%,5.82%,35.36%,0.00%,4.23%,7.44%,Lab
UKPARL.2025.AAG,2,Electoral Calculus MRP (List),11.00%,31.00%,6.00%,8.00%,38.00%,0.00%,0.00%,8.00%,SNP
UKPARL.2025.AAG,3,MIC MRP (List),15.65%,28.84%,7.08%,3.28%,38.39%,0.00%,4.72%,2.04%,SNP
UKPARL.2025.AAG,4,Survation MRP (List),16.63%,28.09%,3.14%,8.07%,37.43%,NI,5.19%,1.44%,SNP
UKPARL.2025.AAG,5,AVERAGE,12.62%,31.33%,4.70%,6.29%,37.30%,0.00%,3.53%,4.73%,FALSE
UKPARL.2025.AAS,1,YOUGOV MRPs (List),1.15%,51.49%,2.67%,6.13%,30.07%,0.00%,2.79%,5.71%,Lab
UKPARL.2025.AAS,2,Electoral Calculus MRP (List),9.00%,42.00%,2.00%,3.00%,39.00%,0.00%,0.00%,4.00%,Lab
UKPARL.2025.AAS,3,MIC MRP (List),11.82%,40.38%,5.00%,1.38%,36.49%,0.00%,3.86%,1.07%,Lab
UKPARL.2025.AAS,4,Survation MRP (List),11.27%,42.81%,2.19%,NI,39.96%,NI,1.76%,2.01%,Lab
UKPARL.2025.AAS,5,AVERAGE,8.31%,44.17%,2.96%,3.50%,36.38%,0.00%,2.10%,3.20%,TRUE
UKPARL.2025.ABF,1,YOUGOV MRPs (List),13.16%,31.82%,3.40%,5.46%,36.51%,0.00%,3.54%,6.11%,SNP
UKPARL.2025.ABF,2,Electoral Calculus MRP (List),13.00%,26.00%,8.00%,6.00%,38.00%,0.00%,0.00%,8.00%,SNP
UKPARL.2025.ABF,3,MIC MRP (List),17.76%,27.50%,9.46%,1.58%,35.72%,0.00%,5.45%,2.54%,SNP
UKPARL.2025.ABF,4,Survation MRP (List),16.84%,23.15%,5.26%,NI,50.74%,NI,2.92%,1.10%,SNP
UKPARL.2025.ABF,5,AVERAGE,15.19%,27.12%,6.53%,4.35%,40.24%,0.00%,2.98%,4.44%,TRUE
UKPARL.2025.ABH,1,YOUGOV MRPs (List),40.19%,34.78%,4.83%,4.44%,0.00%,0.00%,14.96%,0.81%,Lab
UKPARL.2025.ABH,2,Electoral Calculus MRP (List),42.00%,38.00%,3.00%,5.00%,0.00%,0.00%,12.00%,0.00%,Lab
UKPARL.2025.ABH,3,MIC MRP (List),42.65%,38.95%,6.31%,2.56%,0.00%,0.00%,8.28%,1.25%,Lab
UKPARL.2025.ABH,4,Survation MRP (List),36.53%,40.05%,4.90%,3.68%,NI,NI,14.84%,NI,Lab
UKPARL.2025.ABH,5,AVERAGE,40.34%,37.94%,4.76%,3.92%,0.00%,0.00%,12.52%,0.68%,TRUE
UKPARL.2025.ABL,1,YOUGOV MRPs (List),23.66%,22.57%,5.95%,6.47%,34.34%,0.00%,4.19%,2.82%,SNP
UKPARL.2025.ABL,2,Electoral Calculus MRP (List),15.00%,24.00%,15.00%,7.00%,32.00%,0.00%,0.00%,8.00%,SNP
UKPARL.2025.ABL,3,MIC MRP (List),23.08%,15.44%,20.61%,4.07%,32.06%,0.00%,3.52%,1.22%,SNP
UKPARL.2025.ABL,4,Survation MRP (List),23.04%,18.03%,12.42%,NI,39.27%,NI,5.08%,2.17%,SNP
UKPARL.2025.ABL,5,AVERAGE,21.20%,20.01%,13.49%,5.85%,34.42%,0.00%,3.20%,3.55%,TRUE
UKPARL.2025.ABM,1,YOUGOV MRPs (List),36.69%,17.33%,2.94%,3.88%,31.27%,0.00%,7.08%,0.81%,SNP
UKPARL.2025.ABM,2,Electoral Calculus MRP (List),23.00%,24.00%,5.00%,8.00%,31.00%,0.00%,0.00%,9.00%,SNP
UKPARL.2025.ABM,3,MIC MRP (List),29.96%,19.16%,12.83%,1.68%,31.00%,0.00%,4.43%,0.95%,SNP
UKPARL.2025.ABM,4,Survation MRP (List),33.46%,10.36%,9.93%,NI,35.29%,NI,10.96%,NI,SNP
UKPARL.2025.ABM,5,AVERAGE,30.78%,17.71%,7.67%,4.52%,32.14%,0.00%,5.62%,3.59%,TRUE
UKPARL.2025.ABN,1,YOUGOV MRPs (List),11.19%,25.00%,3.35%,8.07%,39.65%,0.00%,6.09%,6.66%,SNP
