PARL25,PARL10,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
UKPARL.2025.AAD,W07000042,30128358.39,202785522.44,0.15,0.17,17227.0,103234.0,363
UKPARL.2025.AAD,W07000043,155171872.21,202785522.44,0.77,0.83,86007.0,103234.0,858
UKPARL.2025.AAG,S14000028,55802928.67,182812762.13,0.31,0.32,30328.9,94044.06,531
UKPARL.2025.AAG,S14000043,12149526.75,182812762.13,0.07,0.17,16225.82,94044.06,184
UKPARL.2025.AAG,S14000050,100422277.09,182812762.13,0.55,0.5,47489.34,94044.06,711
UKPARL.2025.AAS,S14000003,229072026.88,238262975.71,0.96,0.91,84659.0,92871.03,1112
UKPARL.2025.AAS,S14000047,8952615.49,238262975.71,0.04,0.09,8212.03,92871.03,94
UKPARL.2025.ABF,S14000004,285725700.06,420880879.37,0.68,0.32,32263.8,100640.42,798
UKPARL.2025.ABF,S14000015,127669182.49,420880879.37,0.3,0.68,68376.62,100640.42,527
UKPARL.2025.ABH,E14000531,43995534.78,53229773.67,0.83,0.83,77893.59,93555.46,909
UKPARL.2025.ABH,E14001012,9218165.66,53229773.67,0.17,0.17,15661.87,93555.46,395
UKPARL.2025.ABL,S14000005,7005434634.63,9303747320.37,0.75,0.95,85853.59,90813.33,842
UKPARL.2025.ABL,S14000055,2107542562.78,9303747320.37,0.23,0.05,4943.33,90813.33,471
UKPARL.2025.ABM,S14000007,973014719.45,1342746838.25,0.72,0.75,72971.46,97532.12,821
UKPARL.2025.ABM,S14000046,358018293.37,1342746838.25,0.27,0.25,24560.67,97532.12,500
UKPARL.2025.ABN,S14000001,42993650.49,101193285.35,0.42,0.69,77585.73,112881.16,619
UKPARL.2025.ABN,S14000037,55916653.34,101193285.35,0.55,0.29,32255.19,112881.16,715
UKPARL.2025.ABS,S14000001,4380912.09,89896241.72,0.05,0.2,22626.27,115788.84,129
UKPARL.2025.ABS,S14000002,81824430.23,89896241.72,0.91,0.8,93162.58,115788.84,1017
UKPARL.2025.ABV,E14000533,124604698.88,124843097.14,1.0,1.0,91812.96,91906.73,1195
UKPARL.2025.ACC,S14000006,1628526131.83,1635944872.23,1.0,1.0,91141.99,91141.99,1186
UKPARL.2025.AFM,W07000049,161149891.12,248234208.53,0.65,0.61,57895.0,94958.0,775
UKPARL.2025.AFM,W07000069,20012285.43,248234208.53,0.08,0.01,1106.0,94958.0,225
UKPARL.2025.AFM,W07000073,19808395.04,248234208.53,0.08,0.16,15314.0,94958.0,223
UKPARL.2025.AFM,W07000074,40741498.54,248234208.53,0.16,0.22,20643.0,94958.0,386
UKPARL.2025.AHT,E14000530,52962328.67,57091103.89,0.93,0.95,105218.0,111054.77,1050
UKPARL.2025.AHT,E14000844,4125789.42,57091103.89,0.07,0.05,5836.77,111054.77,199
UKPARL.2025.APG,S14000004,1687659767.08,5531597397.44,0.31,0.54,53675.1,99584.7,529
UKPARL.2025.APG,S14000016,85616510.08,5531597397.44,0.02,0.05,4937.06,99584.7,26
UKPARL.2025.APG,S14000050,153135600.62,5531597397.44,0.03,0.04,4343.65,99584.7,63
UKPARL.2025.APG,S14000054,3577291669.49,5531597397.44,0.65,0.36,36108.0,99584.7,771
UKPARL.2025.ASD,E14000534,484858467.14,835665106.25,0.58,0.72,68656.6,95751.29,732
UKPARL.2025.ASD,E14000633,347746472.62,835665106.25,0.42,0.28,26755.96,95751.29,616
UKPARL.2025.ASF,E14000535,93384246.5,99255392.61,0.94,0.96,92254.0,96138.51,1069
UKPARL.2025.ASF,E14000810,5845783.4,99255392.61,0.06,0.04,3884.51,96138.51,168
UKPARL.2025.ASH,E14000536,67114786.2,226225967.27,0.3,0.79,83247.33,104910.34,520
UKPARL.2025.ASH,E14000704,159099147.41,226225967.27,0.7,0.21,21663.01,104910.34,811
UKPARL.2025.ASW,E14000532,50900867.49,50930495.62,1.0,1.0,101863.02,101863.02,1228
UKPARL.2025.AUL,E14000537,20684701.5,29140403.29,0.71,0.74,73171.69,98261.1,815
UKPARL.2025.AUL,E14000661,8442210.8,29140403.29,0.29,0.26,25089.4,98261.1,515
UKPARL.2025.AYS,E14000538,46896106.59,196521987.05,0.24,0.78,88297.6,112533.39,479
UKPARL.2025.AYS,E14000608,149601564.78,196521987.05,0.76,0.22,24235.79,112533.39,851
UKPARL.2025.BAA,E14000575,18981846.45,89116386.69,0.21,0.39,39574.39,102080.39,446
UKPARL.2025.BAA,E14001014,66669950.07,89116386.69,0.75,0.61,62506.0,102080.39,839
UKPARL.2025.BAB,E14000544,60210924.64,61874361.76,0.97,0.9,96910.0,107557.0,1132
UKPARL.2025.BAB,E14000933,1643814.61,61874361.76,0.03,0.1,10647.0,107557.0,59
UKPARL.2025.BAC,E14000574,57694186.29,113667727.8,0.51,0.49,44767.35,91804.35,682
