full_code,short_code,name,name_cy,gss_code,three_code,nation,region,con_type,electorate,area,density,center_lat,center_lon
uk.org.mysociety.cons.ukparl.2025.baf,UKPARL.2025.BAF,Broadland and Fakenham,,E14001136,BAF,England,Eastern,county,72907,720.772917639108,101.151136808535,52.740695042307,1.19200617112541
uk.org.mysociety.cons.ukparl.2025.gym,UKPARL.2025.GYM,Great Yarmouth,,E14001256,GYM,England,Eastern,county,70077,182.555480023132,383.866866067895,52.6407139684535,1.66139327686272
uk.org.mysociety.cons.ukparl.2025.nnf,UKPARL.2025.NNF,North Norfolk,,E14001396,NNF,England,Eastern,county,70719,792.783968063487,89.2033679398734,52.8533350036626,1.24318203942898
uk.org.mysociety.cons.ukparl.2025.mnf,UKPARL.2025.MNF,Mid Norfolk,,E14001365,MNF,England,Eastern,county,71060,838.993904914899,84.6966820422942,52.6292259974449,0.920593153365756
uk.org.mysociety.cons.ukparl.2025.swn,UKPARL.2025.SWN,South West Norfolk,,E14001497,SWN,England,Eastern,county,72496,1160.87078088252,62.4496724302827,52.5572963192139,0.562200303314303
uk.org.mysociety.cons.ukparl.2025.nwn,UKPARL.2025.NWN,North West Norfolk,,E14001405,NWN,England,Eastern,county,75200,910.289758560487,82.6110579546888,52.8221436672635,0.514514046684001
uk.org.mysociety.cons.ukparl.2025.nec,UKPARL.2025.NEC,North East Cambridgeshire,,E14001390,NEC,England,Eastern,county,70806,547.355397445833,129.360193268227,52.5628409907241,0.0607713102125756
uk.org.mysociety.cons.ukparl.2025.eec,UKPARL.2025.EEC,Ely and East Cambridgeshire,,E14001224,EEC,England,Eastern,county,76279,727.15746106325,104.900250749631,52.3371195927512,0.280900620491482
uk.org.mysociety.cons.ukparl.2025.scb,UKPARL.2025.SCB,South Cambridgeshire,,E14001481,SCB,England,Eastern,county,75484,588.949514220414,128.167182716701,52.1259305408988,0.115493848629204
uk.org.mysociety.cons.ukparl.2025.cbg,UKPARL.2025.CBG,Cambridge,,E14001149,CBG,England,Eastern,borough,72560,32.3482950364844,2243.08576134113,52.2040592625264,0.126134300576205
uk.org.mysociety.cons.ukparl.2025.snc,UKPARL.2025.SNC,St Neots and Mid Cambridgeshire,,E14001512,SNC,England,Eastern,county,74699,349.920190014004,213.47439253794,52.2426972614772,-0.0727046211891505
uk.org.mysociety.cons.ukparl.2025.htd,UKPARL.2025.HTD,Huntingdon,,E14001298,HTD,England,Eastern,county,75590,591.078240370035,127.88493102483,52.3573351224903,-0.222621665500595
uk.org.mysociety.cons.ukparl.2025.nwc,UKPARL.2025.NWC,North West Cambridgeshire,,E14001401,NWC,England,Eastern,county,73556,388.250594564166,189.454957776873,52.5381498128774,-0.282468665105667
uk.org.mysociety.cons.ukparl.2025.pbo,UKPARL.2025.PBO,Peterborough,,E14001425,PBO,England,Eastern,county,72273,172.385753303791,419.251583236319,52.6169459382879,-0.158195650826225
uk.org.mysociety.cons.ukparl.2025.nbd,UKPARL.2025.NBD,North Bedfordshire,,E14001384,NBD,England,Eastern,county,76319,584.836239282783,130.496359277589,52.1737099199061,-0.413835265621518
uk.org.mysociety.cons.ukparl.2025.bed,UKPARL.2025.BED,Bedford,,E14001084,BED,England,Eastern,borough,70068,29.5970578768502,2367.39747212526,52.1358804461083,-0.458772726094815
uk.org.mysociety.cons.ukparl.2025.mbd,UKPARL.2025.MBD,Mid Bedfordshire,,E14001359,MBD,England,Eastern,county,71748,347.470554610294,206.486561373435,52.0145124044384,-0.507463740059625
uk.org.mysociety.cons.ukparl.2025.dlb,UKPARL.2025.DLB,Dunstable and Leighton Buzzard,,E14001206,DLB,England,Eastern,county,74069,78.5649971353031,942.773534026099,51.91711137314,-0.592874870391063
uk.org.mysociety.cons.ukparl.2025.lus,UKPARL.2025.LUS,Luton South and South Bedfordshire,,E14001346,LUS,England,Eastern,county,70197,100.692129448876,697.144855156141,51.8650838341944,-0.479087111840864
uk.org.mysociety.cons.ukparl.2025.clt,UKPARL.2025.CLT,Clacton,,E14001174,CLT,England,Eastern,county,75959,216.306133610252,351.164337007963,51.8504451685275,1.14726369111972
uk.org.mysociety.cons.ukparl.2025.hwc,UKPARL.2025.HWC,Harwich and North Essex,,E14001273,HWC,England,Eastern,county,74838,353.128656989183,211.928424722246,51.8935796612067,0.960214385190194
uk.org.mysociety.cons.ukparl.2025.col,UKPARL.2025.COL,Colchester,,E14001176,COL,England,Eastern,borough,76843,42.2620676017791,1818.24989548702,51.8888671462945,0.897155946941761
uk.org.mysociety.cons.ukparl.2025.wtm,UKPARL.2025.WTM,Witham,,E14001590,WTM,England,Eastern,county,75064,436.993769111534,171.773616252275,51.8217269063881,0.710188855130834
uk.org.mysociety.cons.ukparl.2025.mal,UKPARL.2025.MAL,Maldon,,E14001351,MAL,England,Eastern,county,76794,443.40336241959,173.19219137389,51.6810666731749,0.707551410011227
uk.org.mysociety.cons.ukparl.2025.raw,UKPARL.2025.RAW,Rayleigh and Wickford,,E14001437,RAW,England,Eastern,county,76422,68.684405630706,1112.65431065818,51.6067533238603,0.611647859952176
uk.org.mysociety.cons.ukparl.2025.cpt,UKPARL.2025.CPT,Castle Point,,E14001154,CPT,England,Eastern,borough,70923,76.8655526164498,922.689001585634,51.5404014439528,0.583862801769329
