"Constituency","SIU recommendation"
"Aberdeen North","Labour"
"Aberdeen South","Labour"
"Aberdeenshire North and Moray East","Conservative"
"Airdrie and Shotts","Labour"
"Alloa and Grangemouth","Labour"
"Angus and Perthshire Glens","Conservative"
"Arbroath and Broughty Ferry","Labour"
"Argyll, Bute and South Lochaber","Conservative"
"Ayr, Carrick and Cumnock","Labour"
"Bathgate and Linlithgow","Labour"
"Berwickshire, Roxburgh and Selkirk","Conservative"
"Caithness, Sutherland and Easter Ross","Liberal Democrat"
"Central Ayrshire","Labour"
"Coatbridge and Bellshill","Labour"
"Cowdenbeath and Kirkcaldy","Labour"
"Cumbernauld and Kirkintilloch","Labour"
"Dumfries and Galloway","Conservative"
"Dunbartonshire West","Labour"
"Dumfriesshire, Clydesdale and Tweeddale","Conservative"
"Dundee Central","Labour"
"Dunfermline and Dollar","Labour"
"East Kilbride and Strathaven","Labour"
"Edinburgh East and Musselburgh","Labour"
"Edinburgh North and Leith","Labour"
"Edinburgh South","Labour"
"Edinburgh South West","Labour"
"Edinburgh West","Liberal Democrat"
"Falkirk","Labour"
"Glasgow East","Labour"
"Glasgow North","Labour"
"Glasgow North East","Labour"
"Glasgow South","Labour"
"Glasgow South West","Labour"
"Glasgow West","Labour"
"Glenrothes and Mid Fife","Labour"
"Gordon and Buchan","Conservative"
"Hamilton and Clyde Valley","Labour"
"Inverclyde and Renfrewshire West","Labour"
"Inverness, Skye and West Ross-shire","Liberal Democrat"
"Kilmarnock and Loudon","Labour"
"Livingston","Labour"
"Lothian East","Labour"
"Mid Dunbartonshire","Liberal Democrat"
"Midlothian","Labour"
"Moray West, Nairn and Strathspey","Conservative"
"Motherwell, Wishaw and Carluke","Labour"
"Na h-Eileanan an Iar","Labour"
"North Ayrshire and Arran","Labour"
"North East Fife","Liberal Democrat"
"Orkney and Shetland","Liberal Democrat"
"Paisley and Renfrewshire North","Labour"
"Paisley and Renfrewshire South","Labour"
"Renfrewshire East","Labour"
"Perth and Kinross-shire","Conservative"
"Rutherglen","Labour"
"Stirling and Strathallan","Labour"
"West Aberdeenshire and Kincardine","Conservative"
