"Constituency Name","Tactical Voting Advice","Stand-aside Advice","Lab-Con","Win19","Second19","CON%","LAB%","LD%","GRN%","Labour Target","Lib Dem target"
"Liverpool Riverside","GREEN",,77.3,"Lab","Con",7.8,85.1,2.2,2.4,1,
"Birmingham Ladywood","GREEN",,73.2,"Lab","Con",9.8,83.0,2.8,1.8,2,
"Liverpool Walton","GREEN",,72.5,"Lab","Con",9.9,82.4,2.3,1.8,3,
"Knowsley","GREEN",,70.9,"Lab","Con",8.7,79.6,2.5,2.0,4,
"Bootle","GREEN",,70.3,"Lab","Con",9.2,79.4,3.7,2.4,5,
"Manchester Rusholme","GREEN",,69.5,"Lab","Con",9.1,78.6,4.0,4.3,6,
"Liverpool West Derby","GREEN",,69.3,"Lab","Con",8.6,77.9,2.7,1.9,7,
"Tottenham","GREEN",,66.7,"Lab","Con",11.1,77.8,5.0,4.3,8,
"Walthamstow","GREEN",,63.9,"Lab","Con",12.3,76.1,5.9,3.6,9,
"Bethnal Green and Stepney","GREEN",,63.4,"Lab","Con",10.1,73.5,9.3,4.2,10,
"East Ham","GREEN",,63.2,"Lab","Con",14.6,77.8,3.6,1.6,11,
"Hackney South and Shoreditch","GREEN",,63.0,"Lab","Con",10.4,73.4,8.2,6.4,12,
"Liverpool Wavertree","GREEN",,62.0,"Lab","Con",9.6,71.6,8.0,6.2,13,
"Bradford West","GREEN",,61.0,"Lab","Con",15.2,76.2,3.0,1.8,14,
"Peckham","GREEN",,59.6,"Lab","Con",11.2,70.8,10.4,5.0,15,
"Liverpool Garston","GREEN",,58.5,"Lab","Con",11.7,70.2,9.9,2.7,16,
"Lewisham North","GREEN",,57.2,"Lab","Con",12.2,69.4,11.1,5.3,17,
"Hackney North and Stoke Newington","GREEN",,56.8,"Lab","Con",13.0,69.8,7.7,8.0,18,
"Stratford and Bow","GREEN",,55.9,"Lab","Con",14.5,70.4,9.0,3.7,19,
"Manchester Withington","GREEN",,55.2,"Lab","LD",11.3,66.5,15.7,4.0,20,130
"Sheffield Central","GREEN","LIB DEM",54.6,"Lab","Con",12.4,67.0,5.4,10.9,21,
"West Ham and Beckton","GREEN",,54.3,"Lab","Con",16.4,70.7,6.1,2.5,22,
"Islington North","GREEN",,54.1,"Lab","LD",10.2,64.3,15.6,8.0,23,132
"Lewisham West and East Dulwich","GREEN",,51.5,"Lab","Con",14.5,66.1,9.9,7.3,24,
"Birmingham Hall Green and Moseley","GREEN",,51.2,"Lab","Con",15.0,66.3,7.2,1.7,25,
"Holborn and St Pancras","GREEN",,51.1,"Lab","Con",15.2,66.3,12.3,4.0,26,
"Gorton and Denton","GREEN",,48.4,"Lab","Con",18.9,67.2,5.8,2.5,27,
"Dulwich and West Norwood","GREEN","LIB DEM",47.8,"Lab","Con",16.6,64.5,1.0,16.2,28,
"Birmingham Perry Barr","GREEN",,47.6,"Lab","Con",20.4,68.0,6.5,1.9,29,
"Leicester South","GREEN",,46.4,"Lab","Con",21.8,68.2,4.3,3.3,30,
"Vauxhall and Camberwell Green","GREEN",,45.9,"Lab","LD",14.5,60.5,19.1,4.1,31,94
"Widnes and Halewood","GREEN",,45.6,"Lab","Con",20.8,66.5,2.8,2.3,32,
"Leeds Central and Headingley","GREEN",,45.5,"Lab","Con",17.9,63.4,11.2,3.5,33,
"Hornsey and Friern Barnet","LIB DEM",,45.4,"Lab","LD",11.8,57.3,25.6,3.8,34,59
"Croydon West","GREEN",,45.2,"Lab","Con",21.5,66.7,7.0,2.7,35,
"Birkenhead","GREEN",,44.4,"Lab","Con",15.6,60.0,4.0,3.0,36,
"Manchester Central","GREEN",,44.4,"Lab","Con",21.0,65.4,6.0,2.9,37,
"Bristol Central","GREEN","LIB DEM",44.1,"Lab","Green",14.3,58.5,0.0,26.0,38,
"Ilford South","GREEN",,44.0,"Lab","Con",21.2,65.2,3.3,1.3,39,
"Leyton and Wanstead","GREEN",,43.2,"Lab","Con",19.9,63.1,10.7,3.8,40,
"Poplar and Limehouse","GREEN",,42.7,"Lab","Con",17.7,60.3,15.5,3.4,41,134
"Lewisham East","GREEN",,42.7,"Lab","Con",20.0,62.7,10.1,3.5,42,
"Blackburn","GREEN",,42.7,"Lab","Con",23.3,66.0,2.4,1.6,43,
"Nottingham East","GREEN",,42.3,"Lab","Con",20.8,63.1,6.3,3.1,44,
"Queen's Park and Maida Vale","GREEN",,42.1,"Lab","Con",19.8,61.9,13.9,3.2,45,
"Bradford East","GREEN",,41.3,"Lab","Con",21.7,63.0,7.7,1.5,46,
"Rhondda and Ogmore","GREEN",,40.8,"Lab","Con",15.4,56.3,2.3,1.4,47,
"Islington South and Finsbury","GREEN",,40.7,"Lab","LD",16.3,57.0,19.7,4.3,48,88
"Brent East","GREEN",,40.3,"Lab","Con",23.5,63.8,9.0,3.2,49,
"Streatham and Croydon North","GREEN",,39.1,"Lab","Con",18.8,57.9,17.5,4.4,50,107
"Wallasey","GREEN",,37.7,"Lab","Con",25.9,63.7,3.9,2.4,51,
"St Helens South and Whiston","GREEN",,36.8,"Lab","Con",21.3,58.1,5.7,4.3,52,
"Cardiff East","GREEN",,36.5,"Lab","Con",22.7,59.2,12.3,0.6,53,
"Clapham and Brixton Hill","GREEN",,35.9,"Lab","LD",19.5,55.4,19.8,4.2,54,87
"Ealing Southall","GREEN",,35.8,"Lab","Con",23.9,59.7,9.8,3.8,55,
"Newcastle upon Tyne East and Wallsend","GREEN",,35.6,"Lab","Con",23.7,59.3,8.3,3.8,56,
"Bristol East","GREEN",,35.1,"Lab","Con",23.3,58.4,6.9,8.4,57,
"Oxford East","GREEN",,35.0,"Lab","Con",21.4,56.4,14.0,4.7,58,
"Salford","GREEN",,34.1,"Lab","Con",23.3,57.4,6.2,4.3,59,
"Barking","GREEN",,34.1,"Lab","Con",26.8,60.9,3.3,1.8,60,
"Leeds North East","GREEN",,33.8,"Lab","Con",23.6,57.5,11.2,3.8,61,
"Bermondsey and Old Southwark","LIB DEM","GREEN",32.8,"Lab","LD",16.8,49.6,31.1,0.1,62,37
"Stretford and Urmston","GREEN",,32.8,"Lab","Con",27.5,60.3,5.9,2.7,63,
"Cambridge","LIB DEM","GREEN",32.7,"Lab","LD",14.8,47.4,31.2,4.2,64,35
"Newcastle upon Tyne Central and West","GREEN",,32.7,"Lab","Con",26.6,59.3,3.0,3.0,65,
"Greenwich and Woolwich","GREEN",,32.3,"Lab","Con",22.7,55.0,14.6,4.6,66,
"Ellesmere Port and Bromborough","GREEN",,32.2,"Lab","Con",27.1,59.3,7.4,1.9,67,
