"Short Code","Name","Country","Implied Vote Share: Winner","Implied Vote Share: Biggest Progressive Party","Implied Vote Share: Con","Implied Vote Share: Lab","Implied Vote Share: LD","Implied Vote Share: Green","Implied Vote Share: Reform","Implied Vote Share: SNP","Implied Vote Share: PC","Implied Vote Share: Tot oths","Implied Vote Share: Other","Implied Raw: non-voter","Implied Raw: electorate","Implied Raw: Conv","Implied Raw: Labv","Implied Raw: LDv","Implied Raw: Grnv","Implied Raw: Brxv","Implied Raw: SNPv","Implied Raw: PCv","Implied Raw: TotOthv","MRP Vote Share Winner","MRP Vote Share Biggest Progressive Party","MRP Vote Share Con","MRP Vote Share Lab","MRP Vote Share LD","MRP Vote Share Green","MRP Vote Share SNP","MRP Vote Share PC","MRP Vote Share Reform","MRP Vote Share Other","Green Target","Labour Non-Target","Lib Dem Top 50 MRP","TV Advice"
"UKPARL.2025.AAD","Alyn and Deeside","Wales","Lab","Lab","41.95%","42.74%","5.91%","0.00%","5.99%","0.00%","3.40%","0.00%","0.00%","23345","75695","21963","22374","3095","0","3137","0","1781","0","Lab","Lab","23.50%","49.00%","6.00%","5.50%","0.00%","2.50%","12.00%","1.50%","","","","Lab"
"UKPARL.2025.AAG","Alloa and Grangemouth","Scotland","SNP","SNP","24.80%","14.50%","5.31%","1.48%","0.39%","52.67%","0.00%","0.84%","0.84%","26607","72265","11323","6622","2426","678","177","24050","0","382","SNP","SNP","16.00%","26.00%","5.50%","4.50%","40.50%","0.00%","2.50%","4.00%","","","",""
"UKPARL.2025.AAS","Airdrie and Shotts","Scotland","SNP","SNP","17.26%","33.11%","3.57%","1.46%","0.00%","44.60%","0.00%","0.00%","0.00%","24082","70420","8000","15343","1652","676","0","20667","0","0","Lab","Lab","11.00%","41.50%","2.00%","2.50%","37.00%","0.00%","3.50%","2.50%","","","",""
"UKPARL.2025.ABF","Arbroath and Broughty Ferry","Scotland","SNP","SNP","30.26%","10.21%","8.00%","0.00%","0.00%","50.94%","0.00%","0.60%","0.60%","24686","76810","15773","5321","4168","0","0","26550","0","312","SNP","SNP","17.00%","22.00%","8.00%","3.00%","41.50%","0.00%","3.50%","5.00%","","","",""
"UKPARL.2025.ABH","Aldridge-Brownhills","England","Con","Lab","69.61%","21.52%","5.61%","1.84%","0.71%","0.00%","0.00%","0.71%","0.71%","25801","73122","32941","10183","2654","873","334","0","0","336","Con","Lab","37.00%","32.00%","7.00%","6.50%","0.00%","0.00%","15.50%","2.00%","","non-target","","Lab"
"UKPARL.2025.ABL","Argyll, Bute and South Lochaber","Scotland","SNP","SNP","34.51%","7.08%","14.14%","0.00%","0.11%","44.16%","0.00%","0.00%","0.00%","20980","71707","17506","3592","7172","0","54","22403","0","0","SNP","SNP","20.00%","22.50%","12.00%","3.50%","35.00%","0.00%","2.50%","4.00%","","","",""
"UKPARL.2025.ABM","Aberdeenshire North and Moray East","Scotland","Con","SNP","48.32%","4.17%","4.42%","0.00%","0.00%","43.09%","0.00%","0.00%","0.00%","25594","71485","22174","1914","2028","0","0","19775","0","0","SNP","SNP","28.50%","20.00%","4.00%","3.50%","31.50%","0.00%","6.50%","5.50%","","","",""
"UKPARL.2025.ABN","Aberdeen North","Scotland","SNP","SNP","24.55%","11.98%","7.73%","1.22%","1.62%","52.90%","0.00%","0.00%","0.00%","26768","76895","12306","6005","3875","612","813","26516","0","0","SNP","SNP","14.50%","23.50%","8.00%","5.00%","40.00%","0.00%","3.50%","5.00%","","","",""
"UKPARL.2025.ABS","Aberdeen South","Scotland","SNP","SNP","34.36%","8.77%","10.69%","0.53%","0.39%","45.26%","0.00%","0.00%","0.00%","26442","76560","17220","4394","5358","268","195","22683","0","0","SNP","SNP","19.50%","24.00%","8.00%","4.00%","37.00%","0.00%","3.00%","5.00%","","","",""
"UKPARL.2025.ABV","Amber Valley","England","Con","Lab","63.84%","26.81%","6.30%","3.05%","0.00%","0.00%","0.00%","0.00%","0.00%","25016","70625","29118","12227","2875","1389","0","0","0","0","Lab","Lab","35.00%","37.00%","5.50%","8.00%","0.00%","0.00%","12.50%","1.50%","","","","Lab"
"UKPARL.2025.ACC","Ayr, Carrick and Cumnock","Scotland","SNP","SNP","38.51%","13.35%","4.63%","0.00%","0.00%","43.51%","0.00%","0.00%","0.00%","25465","72057","17943","6219","2158","0","0","20272","0","0","SNP","SNP","22.50%","28.50%","3.00%","3.50%","34.50%","0.00%","3.50%","4.00%","","","",""
"UKPARL.2025.AFM","Aberafan Maesteg","Wales","Lab","Lab","22.63%","52.92%","3.70%","1.58%","8.54%","0.00%","8.98%","1.65%","1.65%","25394","69817","10052","23509","1645","701","3794","0","3991","731","Lab","Lab","11.50%","57.50%","5.50%","6.50%","0.00%","5.50%","12.00%","2.00%","","","",""
"UKPARL.2025.AHT","Aldershot","England","Con","Lab","56.83%","22.13%","17.50%","3.55%","0.00%","0.00%","0.00%","0.00%","0.00%","24937","76765","29453","11468","9068","1839","0","0","0","0","Lab","Lab","32.00%","35.50%","14.50%","6.00%","0.00%","0.00%","11.00%","1.50%","","","",""
"UKPARL.2025.APG","Angus and Perthshire Glens","Scotland","SNP","SNP","39.80%","4.25%","4.96%","0.00%","0.58%","50.42%","0.00%","0.00%","0.00%","20459","77006","22504","2402","2803","0","329","28509","0","0","SNP","SNP","25.00%","18.50%","5.00%","3.50%","40.00%","0.00%","3.50%","5.00%","","","","SNP"
"UKPARL.2025.ASD","Arundel and South Downs","England","Con","LD","60.44%","15.68%","18.95%","3.98%","0.00%","0.00%","0.00%","0.96%","0.96%","18869","76974","35117","9108","11012","2312","0","0","0","556","Con","Lab","33.50%","26.50%","18.00%","11.50%","0.00%","0.00%","10.00%","1.50%","","non-target","",""
"UKPARL.2025.ASF","Ashfield","England","Con","Lab","39.20%","25.58%","2.07%","1.31%","4.98%","0.00%","0.00%","26.86%","26.86%","26870","69819","16838","10986","890","563","2137","0","0","11535","Lab","Lab","19.00%","34.00%","6.00%","3.50%","0.00%","0.00%","11.00%","26.00%","","","","Lab"
"UKPARL.2025.ASH","Ashford","England","Con","Lab","59.20%","23.77%","10.65%","4.60%","0.00%","0.00%","0.00%","1.77%","1.77%","24967","73546","28759","11548","5176","2234","0","0","0","862","Lab","Lab","31.50%","33.50%","9.50%","11.50%","0.00%","0.00%","13.00%","1.50%","","non-target","","Lab"
"UKPARL.2025.ASW","Altrincham and Sale West","England","Con","Lab","48.05%","36.84%","11.02%","2.86%","0.00%","0.00%","0.00%","1.24%","0.83%","19171","73934","26311","20172","6036","1566","0","0","0","678","Lab","Lab","30.50%","43.50%","9.00%","9.50%","0.00%","0.00%","6.50%","1.00%","","","","Lab"
"UKPARL.2025.AUL","Ashton-under-Lyne","England","Lab","Lab","36.20%","47.53%","4.29%","3.48%","8.50%","0.00%","0.00%","0.00%","0.00%","30901","72278","14978","19667","1774","1440","3518","0","0","0","Lab","Lab","20.00%","54.00%","5.00%","7.50%","0.00%","0.00%","12.50%","1.50%","","","","Lab"
"UKPARL.2025.AYS","Aylesbury","England","Con","Lab","51.69%","22.95%","21.89%","2.94%","0.53%","0.00%","0.00%","0.00%","0.00%","17748","75636","29924","13284","12670","1701","309","0","0","0","Lab","Lab","28.00%","35.50%","17.50%","7.00%","0.00%","0.00%","10.00%","2.00%","","non-target","",""
"UKPARL.2025.BAA","Blyth and Ashington","England","Lab","Lab","33.45%","47.69%","6.42%","2.90%","9.12%","0.00%","0.00%","0.41%","0.41%","32462","75452","14382","20500","2761","1248","3921","0","0","178","Lab","Lab","19.00%","53.00%","6.50%","7.00%","0.00%","0.00%","12.50%","1.50%","","","",""
