ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,Description,DescriptionTranslation,DateDescriptionFirstApproved,FinancialYearEnd
PP851,A Better Way to Govern,Political Party,Registered,Great Britain,,,,,26/03/2010,True,True,True,False,,,,,,31/12
PPm12607,A Fresh Start for Sheringham,Minor Party,Registered,,,,,,22/10/2020,True,False,False,True,,,,,,
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament - Services not Salaries,,31/01/2018 12:13:53,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament - Maintain the Union,,31/01/2018 12:13:53,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament - No Second Referendum,,31/01/2018 12:13:53,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament - We've Had Enough,,31/01/2018 12:13:53,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament Party - Abolish Holyrood,,08/07/2020 12:44:11,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Holyrood - Abolish Scottish Parliament Party,,08/07/2020 12:44:11,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament Party - Scrap Holyrood,,08/07/2020 12:44:11,31/12
PP6673,Abolish the Scottish Parliament Party,Political Party,Registered,Great Britain,,,,,31/01/2018,False,True,False,False,,,Abolish Scottish Parliament Party - Dissolve Holyrood,,08/07/2020 12:44:11,31/12
