Short Codes ,Utility,MRP Poll Sheet,Con,Lab,LD,Green,SNP,PC,Reform,Other,Single Top Progressive
UKPARL.2025.AAD,1,YOUGOV MRPs (List),16.00%,41.00%,7.00%,5.00%,0.00%,8.00%,21.00%,2.00%,Lab
UKPARL.2025.AAD,2,IPSOS MRP (List),26.00%,43.00%,4.00%,7.00%,NA,7.00%,11.00%,1.00%,Lab
UKPARL.2025.AAD,3,Survation MRP (List),21.93%,51.27%,10.38%,0.40%,NI,1.44%,12.43%,2.14%,Lab
UKPARL.2025.AAD,4,FocalData MRP (List),18.28%,54.49%,5.30%,3.17%,,1.32%,16.97%,,Lab
UKPARL.2025.AAD,5,AVERAGE,20.55%,47.44%,6.67%,3.89%,0.00%,4.44%,15.35%,1.71%,TRUE
UKPARL.2025.AAG,1,YOUGOV MRPs (List),8.00%,37.00%,3.00%,4.00%,34.00%,0.00%,8.00%,5.00%,Lab
UKPARL.2025.AAG,2,IPSOS MRP (List),6.00%,40.00%,1.00%,2.00%,39.00%,NA,8.00%,2.00%,Lab
UKPARL.2025.AAG,3,Survation MRP (List),16.63%,28.09%,3.14%,8.07%,37.43%,NI,5.19%,1.44%,SNP
UKPARL.2025.AAG,4,FocalData MRP (List),12.51%,32.82%,5.75%,3.97%,33.49%,,10.71%,,SNP
UKPARL.2025.AAG,5,AVERAGE,10.79%,34.48%,3.22%,4.51%,35.98%,0.00%,7.97%,2.81%,FALSE
UKPARL.2025.AAS,1,YOUGOV MRPs (List),6.00%,50.00%,3.00%,0.00%,32.00%,0.00%,9.00%,0.00%,Lab
UKPARL.2025.AAS,2,IPSOS MRP (List),7.00%,55.00%,2.00%,NA,31.00%,NA,4.00%,1.00%,Lab
UKPARL.2025.AAS,3,Survation MRP (List),11.27%,42.81%,2.19%,NI,39.96%,NI,1.76%,2.01%,Lab
UKPARL.2025.AAS,4,FocalData MRP (List),7.96%,52.09%,4.04%,0.00%,26.11%,,9.29%,,Lab
UKPARL.2025.AAS,5,AVERAGE,8.06%,49.98%,2.81%,0.00%,32.27%,0.00%,6.01%,1.00%,TRUE
UKPARL.2025.ABF,1,YOUGOV MRPs (List),8.00%,27.00%,4.00%,0.00%,41.00%,0.00%,9.00%,12.00%,SNP
UKPARL.2025.ABF,2,IPSOS MRP (List),15.00%,35.00%,5.00%,NA,36.00%,NA,9.00%,1.00%,SNP
UKPARL.2025.ABF,3,Survation MRP (List),16.84%,23.15%,5.26%,NI,50.74%,NI,2.92%,1.10%,SNP
UKPARL.2025.ABF,4,FocalData MRP (List),16.71%,23.67%,7.68%,0.00%,42.01%,,9.54%,,SNP
UKPARL.2025.ABF,5,AVERAGE,14.14%,27.21%,5.48%,0.00%,42.44%,0.00%,7.62%,4.70%,TRUE
UKPARL.2025.ABH,1,YOUGOV MRPs (List),39.00%,32.00%,5.00%,4.00%,0.00%,0.00%,19.00%,0.00%,Lab
UKPARL.2025.ABH,2,IPSOS MRP (List),39.00%,35.00%,5.00%,2.00%,NA,NA,17.00%,NA,Lab
UKPARL.2025.ABH,3,Survation MRP (List),36.53%,40.05%,4.90%,3.68%,NI,NI,14.84%,NI,Lab
UKPARL.2025.ABH,4,FocalData MRP (List),31.34%,33.50%,5.73%,4.41%,,,25.02%,,Lab
UKPARL.2025.ABH,5,AVERAGE,36.47%,35.14%,5.16%,3.52%,0.00%,0.00%,18.97%,0.00%,TRUE
UKPARL.2025.ABL,1,YOUGOV MRPs (List),21.00%,21.00%,9.00%,0.00%,37.00%,0.00%,8.00%,4.00%,SNP
UKPARL.2025.ABL,2,IPSOS MRP (List),21.00%,26.00%,10.00%,NA,37.00%,NA,4.00%,1.00%,SNP
UKPARL.2025.ABL,3,Survation MRP (List),23.04%,18.03%,12.42%,NI,39.27%,NI,5.08%,2.17%,SNP
UKPARL.2025.ABL,4,FocalData MRP (List),20.14%,14.74%,13.48%,0.00%,37.59%,,13.62%,,SNP
UKPARL.2025.ABL,5,AVERAGE,21.29%,19.94%,11.22%,0.00%,37.72%,0.00%,7.67%,2.39%,TRUE
UKPARL.2025.ABM,1,YOUGOV MRPs (List),39.00%,10.00%,3.00%,0.00%,36.00%,0.00%,12.00%,0.00%,SNP
UKPARL.2025.ABM,2,IPSOS MRP (List),26.00%,16.00%,4.00%,NA,41.00%,NA,11.00%,NA,SNP
UKPARL.2025.ABM,3,Survation MRP (List),33.46%,10.36%,9.93%,NI,35.29%,NI,10.96%,NI,SNP
UKPARL.2025.ABM,4,FocalData MRP (List),27.22%,22.39%,6.58%,0.00%,27.21%,,16.60%,,SNP
UKPARL.2025.ABM,5,AVERAGE,31.42%,14.69%,5.88%,0.00%,34.87%,0.00%,12.64%,0.00%,TRUE
UKPARL.2025.ABN,1,YOUGOV MRPs (List),7.00%,26.00%,6.00%,4.00%,39.00%,0.00%,8.00%,11.00%,SNP
UKPARL.2025.ABN,2,IPSOS MRP (List),13.00%,30.00%,5.00%,3.00%,40.00%,NA,7.00%,2.00%,SNP
UKPARL.2025.ABN,3,Survation MRP (List),14.23%,27.66%,5.29%,3.72%,40.08%,NI,7.78%,1.23%,SNP
UKPARL.2025.ABN,4,FocalData MRP (List),11.70%,27.31%,7.39%,3.56%,37.62%,,12.06%,,SNP
UKPARL.2025.ABN,5,AVERAGE,11.48%,27.74%,5.92%,3.57%,39.18%,0.00%,8.71%,4.74%,TRUE
UKPARL.2025.ABS,1,YOUGOV MRPs (List),19.00%,24.00%,8.00%,3.00%,37.00%,0.00%,7.00%,3.00%,SNP
UKPARL.2025.ABS,2,IPSOS MRP (List),19.00%,27.00%,9.00%,4.00%,34.00%,NA,4.00%,2.00%,SNP
UKPARL.2025.ABS,3,Survation MRP (List),20.07%,23.50%,13.37%,4.64%,32.98%,NI,4.02%,1.42%,SNP
UKPARL.2025.ABS,4,FocalData MRP (List),20.63%,22.77%,7.69%,3.96%,34.43%,,10.11%,,SNP
UKPARL.2025.ABS,5,AVERAGE,19.67%,24.32%,9.52%,3.90%,34.60%,0.00%,6.28%,2.14%,TRUE
UKPARL.2025.ABV,1,YOUGOV MRPs (List),28.00%,35.00%,5.00%,5.00%,0.00%,0.00%,27.00%,0.00%,Lab
UKPARL.2025.ABV,2,IPSOS MRP (List),34.00%,41.00%,3.00%,5.00%,NA,NA,16.00%,NA,Lab
UKPARL.2025.ABV,3,Survation MRP (List),30.26%,38.15%,4.59%,7.69%,NI,NI,19.31%,NI,Lab
UKPARL.2025.ABV,4,FocalData MRP (List),28.08%,39.24%,7.50%,3.98%,,,21.20%,,Lab
UKPARL.2025.ABV,5,AVERAGE,30.08%,38.35%,5.02%,5.42%,0.00%,0.00%,20.88%,0.00%,TRUE
UKPARL.2025.ACC,1,YOUGOV MRPs (List),19.00%,29.00%,3.00%,2.00%,36.00%,0.00%,8.00%,2.00%,SNP
UKPARL.2025.ACC,2,IPSOS MRP (List),20.00%,37.00%,4.00%,2.00%,32.00%,NA,4.00%,1.00%,Lab
UKPARL.2025.ACC,3,Survation MRP (List),22.65%,24.76%,2.07%,0.16%,42.83%,NI,6.00%,1.53%,SNP
UKPARL.2025.ACC,4,FocalData MRP (List),21.09%,30.00%,4.84%,3.29%,27.71%,,12.73%,,Lab
UKPARL.2025.ACC,5,AVERAGE,20.68%,30.19%,3.48%,1.86%,34.63%,0.00%,7.68%,1.51%,FALSE
UKPARL.2025.AFM,1,YOUGOV MRPs (List),6.00%,45.00%,5.00%,5.00%,0.00%,14.00%,22.00%,3.00%,Lab
UKPARL.2025.AFM,2,IPSOS MRP (List),13.00%,50.00%,3.00%,6.00%,NA,13.00%,13.00%,1.00%,Lab
UKPARL.2025.AFM,3,Survation MRP (List),10.25%,53.12%,2.95%,8.73%,NI,7.10%,16.61%,1.24%,Lab
UKPARL.2025.AFM,4,FocalData MRP (List),8.68%,56.96%,3.05%,4.56%,,7.90%,18.45%,,Lab
UKPARL.2025.AFM,5,AVERAGE,9.48%,51.27%,3.50%,6.07%,0.00%,10.50%,17.51%,1.75%,TRUE
UKPARL.2025.AHT,1,YOUGOV MRPs (List),31.00%,37.00%,10.00%,6.00%,0.00%,0.00%,15.00%,1.00%,Lab
UKPARL.2025.AHT,2,IPSOS MRP (List),31.00%,33.00%,14.00%,5.00%,NA,NA,15.00%,1.00%,Lab
UKPARL.2025.AHT,3,Survation MRP (List),34.04%,28.54%,18.14%,4.95%,NI,NI,12.16%,2.17%,Lab
UKPARL.2025.AHT,4,FocalData MRP (List),30.19%,37.08%,13.21%,5.17%,,,14.09%,,Lab
UKPARL.2025.AHT,5,AVERAGE,31.56%,33.90%,13.84%,5.28%,0.00%,0.00%,14.06%,1.39%,TRUE
UKPARL.2025.APG,1,YOUGOV MRPs (List),25.00%,17.00%,3.00%,0.00%,44.00%,0.00%,8.00%,3.00%,SNP
UKPARL.2025.APG,2,IPSOS MRP (List),24.00%,19.00%,7.00%,NA,42.00%,NA,6.00%,1.00%,SNP
UKPARL.2025.APG,3,Survation MRP (List),24.88%,17.09%,4.15%,NI,48.47%,NI,4.46%,0.95%,SNP
UKPARL.2025.APG,4,FocalData MRP (List),25.23%,11.20%,6.58%,0.00%,42.93%,,13.68%,,SNP
UKPARL.2025.APG,5,AVERAGE,24.78%,16.07%,5.18%,0.00%,44.35%,0.00%,8.03%,1.65%,TRUE
UKPARL.2025.ASD,1,YOUGOV MRPs (List),41.00%,20.00%,15.00%,7.00%,0.00%,0.00%,17.00%,0.00%,Lab
UKPARL.2025.ASD,2,IPSOS MRP (List),37.00%,24.00%,19.00%,6.00%,NA,NA,13.00%,0.00%,Lab
UKPARL.2025.ASD,3,Survation MRP (List),32.18%,25.43%,11.18%,21.64%,NI,NI,8.20%,1.36%,Lab
UKPARL.2025.ASD,4,FocalData MRP (List),35.33%,29.66%,12.77%,5.45%,,,16.49%,,Lab
UKPARL.2025.ASD,5,AVERAGE,36.38%,24.77%,14.49%,10.02%,0.00%,0.00%,13.67%,0.45%,TRUE
UKPARL.2025.ASF,1,YOUGOV MRPs (List),15.00%,29.00%,4.00%,4.00%,0.00%,0.00%,32.00%,16.00%,Lab
UKPARL.2025.ASF,2,IPSOS MRP (List),8.00%,21.00%,2.00%,7.00%,NA,NA,59.00%,1.00%,Lab
UKPARL.2025.ASF,3,Survation MRP (List),14.39%,28.02%,7.28%,3.16%,NI,NI,31.11%,16.04%,Lab
UKPARL.2025.ASF,4,FocalData MRP (List),15.12%,39.49%,5.07%,4.16%,,,34.08%,,Lab
UKPARL.2025.ASF,5,AVERAGE,13.13%,29.38%,4.59%,4.58%,0.00%,0.00%,39.05%,11.01%,TRUE
UKPARL.2025.ASH,1,YOUGOV MRPs (List),30.00%,37.00%,8.00%,7.00%,0.00%,0.00%,18.00%,0.00%,Lab
UKPARL.2025.ASH,2,IPSOS MRP (List),32.00%,39.00%,7.00%,6.00%,NA,NA,14.00%,0.00%,Lab
UKPARL.2025.ASH,3,Survation MRP (List),27.25%,39.78%,9.90%,8.67%,NI,NI,12.92%,1.48%,Lab
UKPARL.2025.ASH,4,FocalData MRP (List),28.00%,39.12%,10.49%,5.16%,,,16.94%,,Lab
UKPARL.2025.ASH,5,AVERAGE,29.31%,38.72%,8.85%,6.71%,0.00%,0.00%,15.46%,0.49%,TRUE
UKPARL.2025.ASW,1,YOUGOV MRPs (List),32.00%,43.00%,7.00%,8.00%,0.00%,0.00%,9.00%,1.00%,Lab
UKPARL.2025.ASW,2,IPSOS MRP (List),28.00%,55.00%,5.00%,4.00%,NA,NA,7.00%,1.00%,Lab
UKPARL.2025.ASW,3,Survation MRP (List),26.64%,46.65%,12.65%,3.71%,NI,NI,8.96%,1.39%,Lab
UKPARL.2025.ASW,4,FocalData MRP (List),28.13%,47.46%,8.23%,4.41%,,,11.38%,,Lab
UKPARL.2025.ASW,5,AVERAGE,28.69%,48.03%,8.22%,5.03%,0.00%,0.00%,9.08%,1.13%,TRUE
UKPARL.2025.AUL,1,YOUGOV MRPs (List),9.00%,49.00%,5.00%,8.00%,0.00%,0.00%,24.00%,4.00%,Lab
UKPARL.2025.AUL,2,IPSOS MRP (List),20.00%,55.00%,3.00%,8.00%,NA,NA,12.00%,1.00%,Lab
UKPARL.2025.AUL,3,Survation MRP (List),17.21%,58.25%,2.83%,4.65%,NI,NI,13.69%,3.37%,Lab
UKPARL.2025.AUL,4,FocalData MRP (List),15.66%,54.50%,5.19%,5.41%,,,18.56%,,Lab
UKPARL.2025.AUL,5,AVERAGE,15.47%,54.19%,4.01%,6.52%,0.00%,0.00%,17.06%,2.79%,TRUE
UKPARL.2025.AYS,1,YOUGOV MRPs (List),29.00%,31.00%,21.00%,7.00%,0.00%,0.00%,11.00%,1.00%,Lab
UKPARL.2025.AYS,2,IPSOS MRP (List),30.00%,34.00%,17.00%,5.00%,NA,NA,12.00%,1.00%,Lab
UKPARL.2025.AYS,3,Survation MRP (List),28.38%,30.01%,20.77%,4.91%,NI,NI,14.61%,1.33%,Lab
UKPARL.2025.AYS,4,FocalData MRP (List),28.82%,36.17%,16.14%,4.86%,,,13.74%,,Lab
UKPARL.2025.AYS,5,AVERAGE,29.05%,32.80%,18.73%,5.44%,0.00%,0.00%,12.84%,1.11%,TRUE
UKPARL.2025.BAA,1,YOUGOV MRPs (List),8.00%,64.00%,5.00%,5.00%,0.00%,0.00%,18.00%,0.00%,Lab
UKPARL.2025.BAA,2,IPSOS MRP (List),16.00%,58.00%,3.00%,4.00%,NA,NA,19.00%,NA,Lab
UKPARL.2025.BAA,3,Survation MRP (List),20.22%,51.09%,5.53%,2.53%,NI,NI,20.63%,NI,Lab
